date,SeaSon,item,msrp,netsale,cogs,discount
2026-01-01,S25,TANK TOP,68,18,14,74%
2026-01-01,CORE,TRACK JACKET,165,54,42,67%
2026-01-01,F25,POLO,78,47,18,40%
2026-01-01,S25,TRACK PANT,140,44,30,69%
2026-01-01,S25,TRACK JACKET,145,39,32,73%
2026-01-01,F25,HOODIE,120,48,23,60%
2026-01-01,CORE,TRACK JACKET,165,132,36,20%
2026-01-01,F25,T-SHIRT,68,41,16,40%
2026-01-01,F24,TRACK JACKET,165,50,42,70%
2026-01-01,S25,TRACK JACKET,135,28,21,79%
2026-01-01,CORE,TRACK PANT,110,44,17,60%
2026-01-01,S25,SHORTS,88,20,20,77%
2026-01-01,CORE,TRACK PANT,110,88,17,20%
2026-01-01,S25,T-SHIRT,42,9,7,79%
2026-01-01,S25,TRACK JACKET,165,53,40,68%
2026-01-01,F24,TRACK PANT,135,41,31,70%
2026-01-01,F25,TRACK JACKET,150,72,35,52%
2026-01-01,S25,SWEATER,175,24,41,86%
2026-01-01,F25,TRACK JACKET,145,116,31,20%
2026-01-01,F25,SHORTS,110,53,25,52%
2026-01-01,S25,TRACK JACKET,140,32,29,77%
2026-01-01,CORE,TRACK PANT,110,53,17,52%
2026-01-01,S25,TRACK JACKET,150,41,30,73%
2026-01-01,F24,SPORT BRA,68,21,19,69%
2026-01-01,S25,T-SHIRT,48,13,7,73%
2026-01-01,CORE,TRACK JACKET,165,54,42,67%
2026-01-01,S25,POLO,88,22,17,75%
2026-01-01,S25,T-SHIRT,48,13,8,73%
2026-01-01,S25,TRACK PANT,110,28,19,75%
2026-01-01,F25,TRACK PANT,140,112,23,20%
2026-01-01,S25,SHORTS,88,27,20,69%
2026-01-01,F25,SWEATER,110,53,20,52%
2026-01-01,S25,SOCKS,36,10,8,72%
2026-01-01,S25,T-SHIRT,48,13,7,73%
2026-01-01,S25,TRACK JACKET,175,44,36,75%
2026-01-01,S25,SHORTS,110,44,24,60%
2026-01-01,F25,TRACK JACKET,175,105,37,40%
2026-01-01,F25,TRACK JACKET,165,79,37,52%
2026-01-01,S25,TRACK JACKET,165,45,34,73%
2026-01-01,S25,SHORTS,68,18,12,74%
2026-01-01,S25,T-SHIRT,42,21,7,50%
2026-01-01,S25,SHORTS,88,16,17,82%
2026-01-01,F25,SWEATER,125,63,27,50%
2026-01-01,F25,TRACK PANT,150,72,32,52%
2026-01-01,S25,TRACK JACKET,145,39,32,73%
2026-01-01,F25,POLO,125,75,27,40%
2026-01-01,F25,TRACK JACKET,145,116,31,20%
2026-01-01,S25,TRACK JACKET,150,62,28,59%
2026-01-01,F24,SPORT BRA,68,16,19,76%
