계정과목,25년 YTD,부정계획(실판10%↓),1월(실적),2월(실적),3월(실적),4월(실적),5월(실적),6월,7월,8월,9월,10월,11월,12월,기존계획대비,YOY,1월(실적),2월(실적),3월(실적),4월(실적),5월(실적),6월,7월,8월,9월,10월,11월,12월,26년 YTD(Rolling),YOY,긍정계획(실판15%↑),1월(실적),2월(실적),3월(실적),4월(실적),5월(실적),6월,7월,8월,9월,10월,11월,12월,기존계획대비,YOY
TAG 판매가,"44,095","41,472","3,098","2,011","2,006","2,087","2,976","4,365","3,937","4,039","3,018","2,819","4,173","4,615",494,94%,"2,539","2,011","2,006","2,087","2,976","2,327","3,094","2,714","4,430","3,828","6,483","6,483","41,004",93%,"46,624","3,098","2,011","2,006","2,087","2,976","5,002","4,510","4,626","3,458","3,231","4,781","5,286","5,646",106%
E-com,"39,960","38,451","2,518","1,731","1,727","1,763","2,699","4,279","3,836","3,522","2,469","2,426","4,112","4,567",810,96%,"2,518","1,731","1,727","1,763","2,699","2,171","2,904","2,172","3,888","3,422","6,322","6,322","37,657",94%,"43,287","2,518","1,731","1,727","1,763","2,699","4,952","4,440","4,077","2,859","2,808","4,760","5,286","5,646",108%
Wholesale,"4,135","3,021",21,280,279,324,278,159,159,457,457,343,137,137,-316,73%,21,280,279,324,278,156,190,542,542,406,161,161,"3,347",81%,"3,337",21,280,279,324,278,183,183,526,526,394,157,157,0,81%
실판 매출,"22,819","22,474","1,734","1,073","1,218","1,370",53.30%,"1,343","1,700","1,341","2,406","2,035","3,291","3,332","-2,473",98%,"1,734","1,073","1,218","1,370",53.30%,25.18%,38.78%,45.32%,40.07%,40.52%,42.73%,42.71%,41.36%,109%,"28,689","1,734","1,073","1,218","1,370",53.30%,"1,832","2,320","1,829","3,283","2,776","4,489","4,545","3,742",126%
E-com,"20,321","20,620","1,728",960,"1,058","1,054","1,396","1,201","1,598","1,125","2,150","1,863","3,199","3,200","-2,243",101%,"1,728",960,"1,058","1,054","1,396","1,837","1,947","1,535","2,755","2,331","3,767","3,815","24,776",113%,"26,292","1,728",960,"1,058","1,054","1,396","1,631","2,170","1,527","2,921","2,531","4,346","4,347","3,429",129%
Wholesale,"1,515","1,172",6,109,113,133,"1,312",61,61,175,175,131,52,52,-117,77%,6,109,113,133,"1,312","1,671","1,824","1,284","2,455","2,127","3,653","3,654","22,779",85%,"1,289",6,109,113,133,"1,312",70,70,200,200,150,60,60,0,85%
License Revenue,832,623,0,0,40,-7,79,106,54,54,106,54,54,106,79,75%,0,0,40,-7,79,70,70,200,200,150,60,60,"1,248",65%,544,0,0,40,-7,79,92,47,47,92,47,47,92,0,65%
Others,149,59,0,5,7,189,0,-11,-17,-11,-23,-20,-20,-26,-192,40%,0,5,7,189,0,92,47,47,92,47,47,92,490,169%,251,0,5,7,189,0,4,6,4,8,7,7,9,0,169%
할인율,50.50%,47.50%,31.70%,46.80%,41.60%,43.10%,5,71.60%,58.50%,67.30%,20.50%,28.00%,23.50%,30.80%,6.40%,94%,31.70%,46.80%,41.60%,43.10%,5,4,6,4,8,7,7,9,258,81%,40.80%,31.70%,46.80%,41.60%,43.10%,5,66.90%,51.50%,62.50%,7.80%,16.30%,10.40%,19.00%,-0.20%,81%
매출원가,"9,072","8,294",813,384,414,447,634,463,618,533,861,744,"1,251","1,251",-291,91%,813,384,414,447,634,576,638,550,890,769,"1,293","1,293","8,700",95%,"9,325",813,384,414,447,634,532,711,612,991,855,"1,440","1,440",740,103%
E-com,"8,349","7,690",809,334,365,384,593,428,575,428,753,662,"1,207","1,207",-268,92%,809,334,365,384,593,546,602,448,788,692,"1,263","1,263","8,087",95%,"8,657",809,334,365,384,593,500,671,500,878,772,"1,409","1,409",699,104%
Wholesale,828,604,4,50,49,62,41,29,34,97,97,73,29,29,-22,73%,4,50,49,62,41,30,36,102,102,77,30,30,613,76%,667,4,50,49,62,41,33,39,111,111,84,33,33,41,81%
Others,-106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%
매출총이익,"13,748","14,180",921,689,804,923,762,875,"1,081",814,"1,541","1,291","2,044","2,083","-2,182",103%,921,689,804,923,762,"1,261","1,309",985,"1,865","1,562","2,474","2,522","16,075",119%,"19,364",921,689,804,923,762,"1,304","1,611","1,213","2,295","1,922","3,045","3,102","3,002",141%
(%) 매출총이익률,60.20%,63.10%,53.10%,64.20%,66.00%,67.40%,54.58%,65.10%,63.60%,60.70%,64.00%,63.40%,62.10%,62.50%,-2.50%,105%,53.10%,64.20%,66.00%,67.40%,54.58%,68.64%,67.23%,64.17%,67.70%,67.01%,65.68%,66.11%,64.89%,109%,67.50%,53.10%,64.20%,66.00%,67.40%,54.58%,71.20%,69.40%,66.30%,69.90%,69.20%,67.80%,68.30%,1.90%,112%
직접비용,"8,571","7,578",692,457,436,540,668,446,578,448,774,685,935,"1,052","-1,401",88%,692,457,436,540,668,561,726,562,972,862,"1,176","1,323","8,996",105%,"11,265",692,457,436,540,668,748,968,751,"1,298","1,148","1,568","1,765","2,287",131%
광고비,"3,994","3,670",297,199,195,218,341,210,279,196,376,326,558,558,-557,92%,297,199,195,218,341,252,335,236,451,391,671,671,"4,257",106%,"5,304",297,199,195,218,341,334,444,312,597,518,889,889,"1,077",133%
운반비,"1,243","1,281",153,61,90,83,51,72,94,80,148,137,89,191,-118,103%,153,61,90,83,51,82,106,91,167,155,101,216,"1,356",113%,"1,756",153,61,90,83,51,111,143,123,225,210,137,292,357,141%
수수료,"1,346","1,142",117,96,113,136,119,57,71,56,92,82,127,127,-946,85%,117,96,113,136,119,137,170,134,220,195,304,304,"2,045",155%,"2,620",117,96,113,136,119,182,225,178,292,259,403,403,532,195%
물류비,"1,986","1,484",125,102,38,103,177,112,143,127,167,151,124,164,221,75%,125,102,38,103,177,90,115,101,134,121,100,132,"1,338",64%,"1,585",125,102,38,103,177,122,157,137,182,164,136,179,322,80%
기타,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
직접이익,"5,177","6,602",229,232,368,383,74,429,503,365,767,605,"1,111","1,031",-781,128%,229,232,368,383,74,700,583,423,893,700,"1,298","1,199","7,079",143%,"8,098",229,232,368,383,74,556,650,471,996,782,"1,449","1,336",715,156%
(%) 직접이익률,22.70%,29.40%,13.20%,21.60%,30.20%,28.00%,0.36%,31.90%,29.60%,27.20%,31.90%,29.70%,33.80%,30.90%,-0.20%,129%,13.20%,21.60%,30.20%,28.00%,0.36%,38.11%,29.94%,27.56%,32.41%,30.03%,34.46%,31.43%,28.30%,130%,28.20%,13.20%,21.60%,30.20%,28.00%,0.36%,30.30%,28.00%,25.80%,30.40%,28.20%,32.30%,29.40%,19.10%,124%
영업비,"7,114","6,864",673,501,392,703,459,694,557,579,497,630,544,561,0,96%,673,500,392,703,459,692,557,579,497,630,544,561,"6,786",96%,"6,864",673,500,392,703,459,693,557,579,497,630,545,561,0,96%
급여,"4,137","4,219",322,312,320,539,319,343,340,340,340,340,340,343,0,102%,322,312,320,539,319,343,340,340,340,340,340,343,"4,196",102%,"4,219",322,312,320,539,319,343,340,340,340,340,340,343,0,102%
임차료,296,300,25,25,25,25,25,25,25,25,25,25,25,25,0,101%,25,25,25,25,25,25,25,25,25,25,25,25,300,101%,300,25,25,25,25,25,25,25,25,25,25,25,25,0,101%
감가상각비,68,58,4,7,7,8,8,4,4,4,4,4,4,4,0,86%,4,7,7,8,8,4,4,4,4,4,4,4,62,86%,58,4,7,7,8,8,4,4,4,4,4,4,4,0,86%
광고비,510,831,51,81,15,14,14,193,92,105,19,101,54,72,0,163%,51,81,15,14,14,193,92,105,19,101,54,72,811,163%,831,51,81,15,14,14,193,92,105,19,101,54,72,0,163%
지급수수료,"1,268","1,165",247,37,67,83,60,89,79,84,88,103,99,91,0,92%,247,37,67,83,60,87,79,84,88,103,99,91,"1,125",92%,"1,165",247,37,67,83,60,89,79,84,88,103,99,91,0,92%
출장비/식대,46,45,4,2,6,17,4,2,1,1,2,2,1,6,0,97%,4,2,6,17,4,2,1,1,2,2,1,6,48,97%,45,4,2,6,17,4,2,1,1,2,2,1,6,0,97%
기타,791,247,20,37,-48,15,29,38,16,20,19,55,21,20,0,31%,20,37,-48,15,29,38,16,20,19,55,21,20,245,31%,247,20,37,-48,15,29,38,16,20,19,55,21,20,0,31%
영업이익,"-1,936",-262,-444,-269,-24,-320,-385,-265,-54,-214,270,-25,567,470,-781,14%,-444,-268,-24,-320,-385,8,26,-156,396,70,754,638,293,-27%,"1,234",-444,-268,-24,-320,-385,-284,38,-228,577,104,"1,096",927,715,-64%
(%) 영업이익률,-8.50%,-1.20%,-25.60%,-25.10%,-2.00%,-23.40%,-27.58%,-19.80%,-3.20%,-16.00%,11.20%,-1.20%,17.20%,14.10%,-3.20%,14%,-25.60%,-25.00%,-2.00%,-23.40%,-27.58%,0.44%,1.34%,-10.16%,14.37%,3.00%,20.02%,16.72%,0.90%,-25%,4.30%,-25.60%,-25.00%,-2.00%,-23.40%,-27.58%,-15.50%,1.60%,-12.50%,17.60%,3.70%,24.40%,20.40%,2.20%,-51%
