date,discount,sales,comment
2026-01-01,48%,"5,677","~1월 7일까지 New Year 할인 종료 후, 1월 8일부 CORE할인율 통제"
2026-01-02,49%,"8,100","마이너스 할인율, 셋팅된 TAG가격보다 실판가격을 올려서 판매(2월 CORE 할인율 가중평균 -8.1%)"
2026-01-03,30%,"3,840",
2026-01-04,36%,"4,800",
2026-01-05,47%,"3,108",
2026-01-06,47%,"7,457",
2026-01-07,36%,"2,560",
2026-01-08,0%,"-4,390",
2026-01-09,0%,-511,
2026-01-10,1%,"2,766",
2026-01-11,3%,-214,
2026-01-12,0%,"-3,264",
2026-01-13,4%,869,
2026-01-14,3%,803,
2026-01-15,12%,-213,
2026-01-16,10%,312,
2026-01-17,11%,"1,212",
2026-01-18,20%,786,
2026-01-19,11%,"1,074",
2026-01-20,0%,509,
2026-01-21,3%,383,
2026-01-22,3%,"2,184",
2026-01-23,-7%,724,
2026-01-24,4%,899,
2026-01-25,-11%,471,
2026-01-26,-4%,"1,847",
2026-01-27,0%,578,
2026-01-28,-5%,"1,999",
2026-01-29,-4%,-176,
2026-01-30,-12%,782,
2026-01-31,-5%,"1,522",
2026-02-01,-7%,"1,636",
2026-02-02,-15%,"2,591",
2026-02-03,-15%,"1,539",
2026-02-04,-18%,"2,102",
2026-02-05,-15%,919,
2026-02-06,-5%,163,
2026-02-07,-10%,490,
2026-02-08,-6%,"1,052",
2026-02-09,-8%,"2,039",
2026-02-10,-13%,"1,599",
2026-02-11,-7%,"1,200",
2026-02-12,-10%,975,
2026-02-13,-5%,567,
2026-02-14,4%,"1,650",
2026-02-15,-13%,"1,780",
2026-02-16,-10%,"1,972",
2026-02-17,-12%,"1,730",
2026-02-18,-12%,"1,687",
2026-02-19,-3%,"1,833",
2026-02-20,-13%,766,
2026-02-21,-10%,"1,456",
2026-02-22,-10%,"1,118",
2026-02-23,-3%,"1,644",
2026-02-24,-5%,"2,398",
2026-02-25,3%,724,
2026-02-26,-3%,"2,251",
2026-02-27,-1%,"2,882",
2026-02-28,-2%,"1,619",
