데이터키,25-Jan,25-Feb,25-Mar,25-Apr,25-May,25-Jun,25-Jul,25-Aug,25-Sep,25-Oct,25-Nov,25-Dec,26-Jan,26-Feb,26-Mar,26-Apr,26-May,26-Jun,26-Jul
카드_MSRP_값,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,969"
카드_MSRP_YOY,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,93%
카드_MSRP_매출비중,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100%
카드_MSRP_채널_US홀세일_값,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,182
카드_MSRP_채널_US홀세일_YOY,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,83%
카드_MSRP_채널_US홀세일_비중,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6%
카드_MSRP_채널_USEC_값,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,697"
카드_MSRP_채널_USEC_YOY,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100%
카드_MSRP_채널_USEC_비중,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,91%
카드_MSRP_채널_EUEC_값,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31
카드_MSRP_채널_EUEC_YOY,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20%
카드_MSRP_채널_EUEC_비중,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1%
카드_MSRP_채널_라이선스_값,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,59
카드_MSRP_채널_라이선스_YOY,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,61%
카드_MSRP_채널_라이선스_비중,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2%
카드_MSRP_아이템_26SS_값,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,321"
카드_MSRP_아이템_26SS_YOY,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,90%
카드_MSRP_아이템_26SS_비중,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,45%
카드_MSRP_아이템_25FW_값,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,706
카드_MSRP_아이템_25FW_YOY,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,58%
카드_MSRP_아이템_25FW_비중,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24%
카드_MSRP_아이템_25SS_값,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,679
카드_MSRP_아이템_25SS_YOY,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,417%
카드_MSRP_아이템_25SS_비중,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23%
카드_MSRP_아이템_FW과시즌_값,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
카드_MSRP_아이템_FW과시즌_YOY,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
카드_MSRP_아이템_FW과시즌_비중,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
카드_MSRP_아이템_SS과시즌_값,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
카드_MSRP_아이템_SS과시즌_YOY,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
카드_MSRP_아이템_SS과시즌_비중,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
카드_MSRP_아이템_CORE_값,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16
카드_MSRP_아이템_CORE_YOY,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37%
카드_MSRP_아이템_CORE_비중,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1%
카드_MSRP_아이템_26FW_값,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,73
카드_MSRP_아이템_26FW_YOY,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,53%
카드_MSRP_아이템_26FW_비중,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3%
카드_MSRP_아이템_과시즌_값,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,115
카드_MSRP_아이템_과시즌_YOY,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,348%
카드_MSRP_아이템_과시즌_비중,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5%
카드_직접비_값,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,602
카드_직접비_YOY,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,106%
