데이터키,25-Jan,25-Feb,25-Mar,25-Apr,25-May,25-Jun,25-Jul,25-Aug,25-Sep,25-Oct,25-Nov,25-Dec
손익요약_헤더_영업이익_텍스트,-,-,-,-,-,-,-,-,-,-,,
손익요약_TAG가_당월실적_전년,"2,369","2,703","2,834","3,163","2,911","2,320","1,926","3,261","2,996","2,823","3,203",
손익요약_TAG가_당월실적_전년비율,-,-,-,-,-,-,-,-,-,-,,
손익요약_TAG가_당월실적_당년,"2,205","2,255","3,047","2,578","2,592","2,746","3,194","3,445","3,298","3,974","7,618",
손익요약_TAG가_당월실적_당년비율,-,-,-,-,-,-,-,-,-,-,,
손익요약_TAG가_당월실적_전년비,-164,-448,213,-586,-319,426,"1,268",185,301,"1,150","4,415",
손익요약_TAG가_당월실적_YOY,93%,83%,108%,81%,89%,118%,166%,106%,110%,141%,238%,
손익요약_TAG가_연간누적_전년,"2,369","5,072","7,906","11,069","13,981","16,301","18,227","21,488","24,484","27,308","30,725",
손익요약_TAG가_연간누적_전년비율,-,-,-,-,-,-,-,-,-,-,,
손익요약_TAG가_연간누적_당년,"2,205","4,461","7,508","10,086","12,678","15,424","18,618","22,063","25,361","29,334","36,952",
손익요약_TAG가_연간누적_당년비율,-,-,-,-,-,-,-,-,-,-,,
손익요약_TAG가_연간누적_전년비,-164,-611,-398,-984,"-1,303",-877,390,575,876,"2,027","6,227",
손익요약_TAG가_연간누적_YOY,93%,88%,95%,91%,91%,95%,102%,103%,104%,107%,121%,
손익요약_실판(v+)_당월실적_전년,"1,606","1,596","1,833","1,972","1,894","1,399","1,200","1,734","1,727","1,680","1,893",
손익요약_실판(v+)_당월실적_전년비율,32.90%,43.30%,36.00%,38.90%,41.70%,40.70%,40.20%,48.30%,43.60%,41.90%,41.70%,
손익요약_실판(v+)_당월실적_당년,"1,336","1,246","1,817","1,633","1,696","1,700","1,631","1,590","1,695","1,936","3,003",
손익요약_실판(v+)_당월실적_당년비율,41.00%,45.60%,41.50%,37.50%,35.20%,38.50%,50.40%,52.30%,50.10%,52.30%,61.20%,
손익요약_실판(v+)_당월실적_전년비,-270,-350,-16,-338,-197,301,432,-144,-33,255,"1,111",
손익요약_실판(v+)_당월실적_YOY,83%,78%,99%,83%,90%,122%,136%,92%,98%,115%,159%,
손익요약_실판(v+)_연간누적_전년,"1,606","3,202","5,035","7,007","8,901","10,299","11,499","13,234","14,961","16,641","18,534",
손익요약_실판(v+)_연간누적_전년비율,32.90%,43.30%,36.00%,38.90%,41.70%,40.70%,40.20%,48.30%,43.60%,41.90%,41.70%,
손익요약_실판(v+)_연간누적_당년,"1,336","2,582","4,399","6,032","7,729","9,428","11,060","12,650","14,344","16,280","19,283",
손익요약_실판(v+)_연간누적_당년비율,41.00%,43.40%,42.60%,41.30%,40.00%,39.80%,41.60%,43.10%,44.00%,45.20%,48.50%,
손익요약_실판(v+)_연간누적_전년비,-270,-620,-637,-975,"-1,172",-871,-439,-584,-617,-361,749,
손익요약_실판(v+)_연간누적_YOY,83%,81%,87%,86%,87%,92%,96%,96%,96%,98%,104%,
손익요약_생산원가_당월실적_전년,19.60%,19.40%,19.40%,19.00%,19.30%,18.80%,19.00%,19.30%,19.40%,19.30%,20.70%,
손익요약_생산원가_당월실적_당년,20.00%,19.80%,21.40%,21.50%,21.40%,21.10%,21.30%,20.40%,20.10%,20.80%,20.60%,
손익요약_생산원가_당월실적_전년비,+0.3%p,+0.4%p,+2.0%p,+2.5%p,+2.1%p,+2.3%p,+2.3%p,+1.2%p,+0.6%p,+1.5%p,-0.1%p,
손익요약_생산원가_당월실적_YOY,102%,102%,110%,113%,111%,112%,112%,106%,103%,108%,100%,
손익요약_생산원가_연간누적_전년,19.60%,19.50%,19.50%,19.40%,19.30%,19.30%,19.20%,19.20%,19.30%,19.30%,19.50%,
손익요약_생산원가_연간누적_당년,20.00%,19.90%,20.50%,20.80%,20.90%,20.90%,21.00%,20.90%,20.80%,20.80%,20.10%,
손익요약_생산원가_연간누적_전년비,+0.3%p,+0.4%p,+1.0%p,+1.4%p,+1.5%p,+1.7%p,+1.8%p,+1.7%p,+1.5%p,+1.5%p,+0.6%p,
손익요약_생산원가_연간누적_YOY,102%,102%,105%,107%,108%,109%,109%,109%,108%,108%,103%,
손익요약_매출이익_당월실적_전년,"1,116",996,"1,290","1,383","1,244","1,073",853,"1,103","1,146","1,111","1,230",
손익요약_매출이익_당월실적_전년비율,70.00%,62.00%,70.00%,70.00%,66.00%,77.00%,71.00%,64.00%,66.00%,66.00%,64.90%,
손익요약_매출이익_당월실적_당년,954,856,"1,273","1,096","1,152","1,130",980,900,"1,001","1,124","1,431",
손익요약_매출이익_당월실적_당년비율,71.00%,69.00%,70.00%,67.00%,68.00%,67.00%,60.00%,57.00%,59.00%,58.00%,47.70%,
손익요약_매출이익_당월실적_전년비,-163,-140,-16,-288,-92,58,128,-204,-145,13,201,
손익요약_매출이익_당월실적_YOY,85%,86%,99%,79%,93%,105%,115%,82%,87%,101%,116%,
손익요약_매출이익_연간누적_전년,"1,116","2,113","3,402","4,786","6,030","7,103","7,956","9,059","10,205","11,316","12,546",
손익요약_매출이익_연간누적_전년비율,70.00%,66.00%,68.00%,68.00%,68.00%,69.00%,69.00%,68.00%,68.00%,68.00%,67.70%,
