데이터키,25-Jan,25-Feb,25-Mar,25-Apr,25-May,25-Jun,25-Jul,25-Aug,25-Sep,25-Oct,25-Nov,
손익요약_헤더_영업이익_텍스트,-,-,-,-,-,-,-,-,-,-,,
손익요약_TAG가_당월실적_전년,"2,369","2,703","2,834","3,163","2,911","2,320","1,926","3,261","2,996","2,823",,
손익요약_TAG가_당월실적_전년비율,-,-,-,-,-,-,-,-,-,-,,
손익요약_TAG가_당월실적_당년,"2,205","2,255","3,047","2,578","2,592","2,746","3,194","3,445","3,298","3,974",,
손익요약_TAG가_당월실적_당년비율,-,-,-,-,-,-,-,-,-,-,,
손익요약_TAG가_당월실적_전년비,-164,-448,+213,-586,-319,+426,"+1,268",+185,+301,"+1,150",,
손익요약_TAG가_당월실적_YOY,93%,83%,108%,81%,89%,118%,166%,106%,110%,141%,,
손익요약_TAG가_연간누적_전년,"2,369","5,072","7,906","11,069","13,981","16,301","18,227","21,488","24,484","27,308",,
손익요약_TAG가_연간누적_전년비율,-,-,-,-,-,-,-,-,-,-,,
손익요약_TAG가_연간누적_당년,"2,205","4,461","7,508","10,086","12,678","15,424","18,618","22,063","25,361","29,334",,
손익요약_TAG가_연간누적_당년비율,-,-,-,-,-,-,-,-,-,-,,
손익요약_TAG가_연간누적_전년비,-164,-611,-398,-984,"-1,303",-877,+390,+575,+876,"+2,027",,
손익요약_TAG가_연간누적_YOY,93%,88%,95%,91%,91%,95%,102%,103%,104%,107%,,
손익요약_실판(v+)_당월실적_전년,"1,606","1,596","1,833","1,972","1,894","1,399","1,200","1,734","1,727","1,680",,
손익요약_실판(v+)_당월실적_전년비율,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,,
손익요약_실판(v+)_당월실적_당년,"1,336","1,246","1,817","1,633","1,696","1,700","1,631","1,590","1,695","1,936",,
손익요약_실판(v+)_당월실적_당년비율,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,,
손익요약_실판(v+)_당월실적_전년비,-270,-350,-16,-338,-197,+301,+432,-144,-33,+255,,
손익요약_실판(v+)_당월실적_YOY,83%,78%,99%,83%,90%,122%,136%,92%,98%,115%,,
손익요약_실판(v+)_연간누적_전년,"1,606","3,202","5,035","7,007","8,901","10,299","11,499","13,234","14,961","16,641",,
손익요약_실판(v+)_연간누적_전년비율,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,,
손익요약_실판(v+)_연간누적_당년,"1,336","2,582","4,399","6,032","7,729","9,428","11,060","12,650","14,344","16,280",,
손익요약_실판(v+)_연간누적_당년비율,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,,
손익요약_실판(v+)_연간누적_전년비,-270,-620,-637,-975,"-1,172",-871,-439,-584,-617,-361,,
손익요약_실판(v+)_연간누적_YOY,83%,81%,87%,86%,87%,92%,96%,96%,96%,98%,,
손익요약_생산원가_당월실적_전년,19.6%,19.4%,19.4%,19.0%,19.3%,18.8%,19.0%,19.3%,19.4%,19.3%,,
손익요약_생산원가_당월실적_당년,20.0%,19.8%,21.4%,21.5%,21.4%,21.1%,21.3%,20.4%,20.1%,20.8%,,
손익요약_생산원가_당월실적_전년비,+0.3%p,+0.4%p,+2.0%p,+2.5%p,+2.1%p,+2.3%p,+2.3%p,+1.2%p,+0.6%p,+1.5%p,,
손익요약_생산원가_당월실적_YOY,102%,102%,110%,113%,111%,112%,112%,106%,103%,108%,,
손익요약_생산원가_연간누적_전년,19.6%,19.5%,19.5%,19.4%,19.3%,19.3%,19.2%,19.2%,19.3%,19.3%,,
손익요약_생산원가_연간누적_당년,20.0%,19.9%,20.5%,20.8%,20.9%,20.9%,21.0%,20.9%,20.8%,20.8%,,
손익요약_생산원가_연간누적_전년비,+0.3%p,+0.4%p,+1.0%p,+1.4%p,+1.5%p,+1.7%p,+1.8%p,+1.7%p,+1.5%p,+1.5%p,,
손익요약_생산원가_연간누적_YOY,102%,102%,105%,107%,108%,109%,109%,109%,108%,108%,,
손익요약_매출이익_당월실적_전년,"1,116",996,"1,290","1,383","1,244","1,073",853,"1,103","1,146","1,111",,
손익요약_매출이익_당월실적_전년비율,70%,62%,70%,70%,66%,77%,71%,64%,66%,66%,,
손익요약_매출이익_당월실적_당년,954,856,"1,273","1,096","1,152","1,130",980,900,"1,001","1,124",,
손익요약_매출이익_당월실적_당년비율,71%,69%,70%,67%,68%,67%,60%,57%,59%,58%,,
손익요약_매출이익_당월실적_전년비,-163,-140,-16,-288,-92,+58,+128,-204,-145,+13,,
손익요약_매출이익_당월실적_YOY,85%,86%,99%,79%,93%,105%,115%,82%,87%,101%,,
손익요약_매출이익_연간누적_전년,"1,116","2,113","3,402","4,786","6,030","7,103","7,956","9,059","10,205","11,316",,
손익요약_매출이익_연간누적_전년비율,70%,66%,68%,68%,68%,69%,69%,68%,68%,68%,,
손익요약_매출이익_연간누적_당년,954,"1,810","3,083","4,179","5,331","6,461","7,441","8,341","9,342","10,466",,
손익요약_매출이익_연간누적_당년비율,71%,70%,70%,69%,69%,69%,67%,66%,65%,64%,,
손익요약_매출이익_연간누적_전년비,-163,-303,-319,-607,-699,-642,-514,-718,-863,-851,,
손익요약_매출이익_연간누적_YOY,85%,86%,91%,87%,88%,91%,94%,92%,92%,92%,,
손익요약_직접비_당월실적_전년,531,447,620,618,681,624,501,561,593,558,,
손익요약_직접비_당월실적_전년비율,33%,28%,34%,31%,36%,45%,42%,32%,34%,33%,,
손익요약_직접비_당월실적_당년,479,441,585,590,592,567,568,534,727,869,,
손익요약_직접비_당월실적_당년비율,22%,20%,19%,23%,23%,21%,18%,16%,22%,22%,,
손익요약_직접비_당월실적_전년비,-52,-6,-35,-28,-88,-57,+67,-26,+134,+311,,
손익요약_직접비_당월실적_YOY,90%,99%,94%,95%,87%,91%,113%,95%,123%,156%,,
손익요약_직접비_연간누적_전년,531,978,"1,598","2,216","2,897","3,521","4,022","4,583","5,176","5,734",,
손익요약_직접비_연간누적_전년비율,33%,31%,32%,32%,33%,34%,35%,35%,35%,34%,,
손익요약_직접비_연간누적_당년,479,920,"1,506","2,096","2,688","3,255","3,823","4,358","5,084","5,954",,
손익요약_직접비_연간누적_당년비율,36%,36%,34%,35%,35%,35%,35%,34%,35%,37%,,
손익요약_직접비_연간누적_전년비,-52,-58,-92,-120,-209,-266,-199,-225,-91,+220,,
손익요약_직접비_연간누적_YOY,90%,94%,94%,95%,93%,92%,95%,95%,98%,104%,,
손익요약_직접이익_당월실적_전년,585,549,670,766,564,448,351,543,553,553,,
손익요약_직접이익_당월실적_전년비율,25%,20%,24%,24%,19%,19%,18%,17%,19%,20%,,
손익요약_직접이익_당월실적_당년,474,415,688,506,560,563,412,365,274,255,,
손익요약_직접이익_당월실적_당년비율,22%,18%,23%,20%,22%,21%,13%,11%,8%,6%,,
손익요약_직접이익_당월실적_전년비,-111,-134,+18,-259,-4,+115,+61,-178,-279,-299,,
손익요약_직접이익_당월실적_YOY,81%,76%,103%,66%,99%,126%,117%,67%,50%,46%,,
손익요약_직접이익_연간누적_전년,585,"1,135","1,804","2,570","3,134","3,582","3,933","4,476","5,029","5,583",,
손익요약_직접이익_연간누적_전년비율,25%,22%,23%,23%,22%,22%,22%,21%,21%,20%,,
손익요약_직접이익_연간누적_당년,474,889,"1,577","2,083","2,643","3,206","3,618","3,983","4,258","4,512",,
손익요약_직접이익_연간누적_당년비율,22%,20%,21%,21%,21%,21%,19%,18%,17%,15%,,
