데이터키,25-Jan,25-Feb,25-Mar,25-Apr,25-May,25-Jun,25-Jul,25-Aug,25-Sep,25-Oct,25-Nov,25-Dec,26-Jan,26-Feb
손익요약_TAG가_당월실적_전년,,,,,,,,,,,,,,"2,255","1,862"
손익요약_TAG가_당월실적_전년비율,,,,,,,,,,,,,,,-
손익요약_TAG가_당월실적_당년,,,,,,,,,,,,,,"2,255","1,862"
손익요약_TAG가_당월실적_당년비율,,,,,,,,,,,,,,,-
손익요약_TAG가_당월실적_전년비,,,,,,,,,,,,,,-393,-20
손익요약_TAG가_당월실적_YOY,,,,,,,,,,,,,,84%,100%
손익요약_TAG가_연간누적_전년,,,,,,,,,,,,,,"1,882","1,882"
손익요약_TAG가_연간누적_전년비율,,,,,,,,,,,,,,,-
손익요약_TAG가_연간누적_당년,,,,,,,,,,,,,,"2,255","4,117"
손익요약_TAG가_연간누적_당년비율,,,,,,,,,,,,,,,-
손익요약_TAG가_연간누적_전년비,,,,,,,,,,,,,,+373,+2235
손익요약_TAG가_연간누적_YOY,,,,,,,,,,,,,,120%,219%
손익요약_실판(v+)_당월실적_전년,,,,,,,,,,,,,,"1,073","1,073"
손익요약_실판(v+)_당월실적_전년비율,,,,,,,,,,,,,,110.0%,110.0%
손익요약_실판(v+)_당월실적_당년,,,,,,,,,,,,,,"1,154","1,073"
손익요약_실판(v+)_당월실적_당년비율,,,,,,,,,,,,,,110.0%,110.0%
손익요약_실판(v+)_당월실적_전년비,,,,,,,,,,,,,,+81,0
손익요약_실판(v+)_당월실적_YOY,,,,,,,,,,,,,,108%,100%
손익요약_실판(v+)_연간누적_전년,,,,,,,,,,,,,,"1,073","2,146"
손익요약_실판(v+)_연간누적_전년비율,,,,,,,,,,,,,,110.0%,110.0%
손익요약_실판(v+)_연간누적_당년,,,,,,,,,,,,,,"1,154","2,227"
손익요약_실판(v+)_연간누적_당년비율,,,,,,,,,,,,,,110.0%,110.0%
손익요약_실판(v+)_연간누적_전년비,,,,,,,,,,,,,,+81,+81
손익요약_실판(v+)_연간누적_YOY,,,,,,,,,,,,,,108%,104%
손익요약_생산원가_당월실적_전년,,,,,,,,,,,,,,20.7%,20.7%
손익요약_생산원가_당월실적_전년비율,,,,,,,,,,,,,,-
손익요약_생산원가_당월실적_당년,,,,,,,,,,,,,,19.7%,20.1%
손익요약_생산원가_당월실적_당년비율,,,,,,,,,,,,,,-
손익요약_생산원가_당월실적_전년비,,,,,,,,,,,,,,-1.0%p,-0.6%p
