1. 손익계산서,,,,,,,,,,,,,,,,,,,,
구분,Jan-25A,Feb-25A,Mar-25A,Apr-25A,May-25A,Jun-25A,Jul-25A,Aug-25A,Sep-25A,Oct-25A,Nov-25A,24-Nov,Dec-25F,24-Dec,당월 YoY,YTD,YTD YoY,,,
1.TAG매출,"$2,205 ","$2,255 ","$3,047 ","$2,578 ","$2,592 ","$2,746 ","$3,194 ","$3,062 ","$3,298 ","$3,982 ","7,618","$3,203 ","$8,086 ","$3,687 ","4,399","44,172","9,760",,,
Ecommerce (US),"$1,732 ","$1,641 ","$2,162 ","$1,868 ","$2,183 ","$2,431 ","$2,705 ","$2,459 ","$2,735 ","$3,266 ","7,276","$2,828 ","$7,704 ","$3,163 ","4,541","38,162","13,311",,,
Ecommerce (EU),$129 ,$118 ,$145 ,$138 ,$122 ,$115 ,$172 ,$76 ,$53 ,$82 ,146,$200 ,$197 ,$225 ,-28,"1,493",-785,,,
Wholesale,$255 ,$450 ,$657 ,$510 ,$236 ,$166 ,$220 ,$475 ,$418 ,$564 ,119,$113 ,$65 ,$184 ,-119,"4,135","-2,445",,,
Other Income,- ,,,,,,,,,$8 ,62,0,$19 ,$0 ,19,89,-128,,,
License,$89 ,$46 ,$83 ,$62 ,$51 ,$34 ,$96 ,$52 ,$92 ,$62 ,14,$61 ,$102 ,$115 ,-13,293,-193,,,
2. 실판매출,"$1,336 ","$1,246 ","$1,817 ","$1,633 ","$1,696 ","$1,700 ","$1,631 ","$1,590 ","$1,695 ","$1,936 ","3,003","$1,893 ","$3,535 ","$2,275 ","1,260","22,298","1,489",,,
Ecommerce (US),"$1,069 ",$957 ,"$1,373 ","$1,267 ","$1,489 ","$1,559 ","$1,386 ","$1,226 ","$1,396 ","$1,615 ","2,839","$1,634 ","$3,327 ","$1,959 ","1,368","19,503","4,255",,,
Ecommerce (EU),$90 ,$65 ,$87 ,$94 ,$83 ,$69 ,$87 ,$42 ,$30 ,$48 ,54,$157 ,$70 ,$176 ,-106,819,"-1,022",,,
Wholesale,$89 ,$178 ,$274 ,$210 ,$73 ,$37 ,$63 ,$166 ,$172 ,$202 ,34,$41 ,$17 ,$26 ,-9,"1,515",-1013,,,
