구분 (단위 : K USD),본사 차입금,인수 직후_운영자금,상표 마케팅_등록 지원,STO 직원 인수_보너스 지급,21년-22년 STE_STO에 지급_주주 대여금 상환,JVA_중재법률비,25SS_물품대지급,MCCC 비용 중재로_STE에 미청구등_현금 악화,26SS_물품대 지급,합계
운영자금 1차 차입,1500,-1300,-200,,,,,,,-1500
운영자금 2차 차입,1100,,,-1100,,,,,,-1100
STE 주주대여금 상환,3900,,,,-3900,,,,,-3900
운영자금 3차 차입,1000,,,,,,-1000,,,-1000
운영자금 4차 차입,3000,,,,,,,-3000,,-3000
운영자금 5차 차입,2500,,,,,,-2500,,,-2500
운영자금 6차 차입,2000,,,,,,-2000,,,-2000
운영자금 7차 차입,2000,,,,,,,-700,-1300,-2000
운영자금 8차 차입,3000,,,,,,,-612,-2388,-3000
합계,20000,-1300,-200,-1100,-3900,-6812,-3000,-1300,-2388,-20000
