구분,전년,RF_04,RF_05,RF_05 - 전년,RF_05 - RF_04
자산,"86,249","56,627","56,490","-29,759",-137
현금자산,"7,563","3,912","3,856","-3,707",-56
매출채권,371,748,870,499,122
재고자산,"4,942","2,583","2,438","-2,504",-145
기타유동자산,"1,936",991,923,"-1,013",-68
사용권자산,474,157,167,-307,10
STE투자주식,"22,894",166,166,"-22,728",0
기타비유동자산,"48,070","48,070","48,070",0,0
부채,"46,089","17,659","17,774","-28,315",115
매입채무,"4,778","2,021","2,004","-2,774",-17
미지급비용,715,228,250,-465,22
차입금,"39,215","14,463","14,541","-24,674",78
기타비유동부채,1380,946,978,-402,32
자본,"40,159","38,968","38,717","-1,442",-251
자본금,"60,672","60,672","60,672",0,0
이익잉여금,"-20,513","-21,704","-21,955","-1,442",-251
