계정과목(K USD),2025년(기말),2026년(계획),2026년(운영)
기초현금,"3,984","7,563","7,563"
영업활동,"-7,379","-2,413","-2,705"
매출수금,"23,264","26,156","25,832"
온라인(US+EU),"20,643","24,373","24,148"
홀세일,"1,590","1,347","1,248"
라이센스,"1,031",436,436
물품비 지출,"-6,011","-4,552","-4,379"
비용지출,"-24,632","-24,017","-24,159"
인건비,"-4,560","-4,286","-4,299"
지급수수료,"-6,251","-5,204","-5,248"
광고선전비,"-4,903","-6,334","-6,833"
기타비용,"-8,918","-8,193","-7,777"
재무활동,"10,958","-2,050","-1,945"
본사차입,"28,943",0,0
STE감자,0,"18,000","18,273"
STE청산,0,"5,950","5,950"
STE지분매입,"-17,985",0,0
본사차입상환,0,"-26,000","-26,168"
기말잔액,"7,563","3,100","2,913"
Net Cash,"3,579","-4,463","-4,650"
