계정과목,25년(합계),26년 1월(실적),2월(실적),3월(실적),4월(실적),5월(실적),6월(실적),7월(예상),8월(예상),9월(예상),10월(예상),11월(예상),12월(예상),RF_05,RF_06,전년대비,계획대비
기초잔액,"12,924","18,089","17,786",529,471,"1,183","2,386","2,328","3,067","3,498","2,754","4,366","4,332","18,089","18,089",5165,0
로열티수금,"13,135",307,"1,052",0,761,"1,259",0,786,431,0,"1,612",0,0,"6,332","6,208",-6927,0
BBUK,970,307,0,0,260,0,0,266,0,0,105,0,0,938,938,-32,0
Movin,"6,513",0,0,0,0,753,0,0,0,0,0,0,0,753,753,-5760,0
Benjamin,"2,138",0,363,0,371,0,0,390,0,0,363,0,0,"1,454","1,487",-651,0
SUGI,"2,602",0,559,0,0,506,0,0,422,0,357,0,0,"1,738","1,844",-758,0
SUGI FR,0,0,0,0,0,0,0,0,0,0,682,0,0,946,682,682,0
Silver,468,0,0,0,0,0,0,0,9,0,8,0,0,16,17,-451,0
BDS,444,0,130,0,130,0,0,130,0,0,97,0,0,487,487,43,0
비용지출,"-7,970",-610,-17,-58,-49,-56,-58,-47,0,0,0,-34,0,"-19,970","-19,965",-11995,0
법률비용,"-5,943",-610,0,-58,0,0,0,0,0,0,0,0,0,-668,-668,5275,0
광고선전비,"-1,450",0,-6,0,0,0,0,0,0,-744,0,0,0,-755,-750,700,0
기타비용,-577,0,-11,0,-49,-56,-58,-47,0,0,0,-34,0,-255,-255,322,0
STE감자/배당,0,0,"-18,292",0,0,0,0,0,0,0,0,0,0,"-18,292","-18,292",-18292,
기말잔액,"18,089","17,786",529,471,"1,183","2,386","2,328","3,067","3,498","2,754","4,366","4,332","4,332","4,451","4,332",-13757,0
STE주주환원,0,0,0,0,0,0,0,0,0,0,0,0,"-4,000","-4,000","-4,000",-4000,0
환원 후 기말잔액,"18,089","17,786",529,471,"1,183","2,386","2,328","3,067","3,498","2,754","4,366","4,332",332,451,332,-17757,0
Net Cash,"5,165",-303,"-16,914",-58,712,"1,203",-58,739,431,-744,"1,612",-34,"-4,000","-17,638","-17,757",-22922,0
