계정과목,전년,1월,2월,RF_04,3월,4월,5월,6월,7월,8월,9월,10월,11월,RF_05,RF_05 - RF_04,RF_05 - 전년,NEW_RF_08,상세
자산,"86,249","83,425","63,791","55,265","63,654","63,406","63,497","63,052","62,024","61,367","61,929","61,460","61,948","55,989",563,"-30,421","55,087",
유동자산,"14,771","11,929","10,529","6,197","10,419","10,154","10,243","9,817","8,803","8,188","8,769","8,330","8,848","6,921",591,"-7,983","6,047",
현금자산,"7,563","4,874","2,562","2,718","2,458","2,298","2,658","2,433","1,841",809,"2,009","2,431","3,824","3,167","1,217","-3,628","3,194",
매출채권,371,440,519,870,457,545,342,264,237,990,769,686,1113,870,-654,-155,216,
기타채권,60,1,0,-1,39,0,0,38,-1,-1,-1,-1,-1,-1,0,-61,-1,
재고자산,"4,942","4,343","6,241","2,365","6,662","6,434","5,772","4,985","5,279","5,758","5,719","4,951","3,658","2,640",46,"-2,531","2,411",
기타유동자산,"1,836","2,272","1,207",245,804,876,"1,472","2,097","1,447",631,273,264,254,245,-19,"-1,610",226,
비유동자산,"71,478","71,496","53,262","49,069","53,235","53,252","53,254","53,236","53,221","53,179","53,160","53,130","53,099","49,069",-29,"-22,438","49,040",STE 감자 → STO 투자주식 제거
유형자산,40,38,105,164,105,147,164,172,184,169,176,172,168,164,-28,96,136,
사용권자산,474,448,421,169,395,369,353,327,301,274,248,222,195,169,-1,-306,168,
STE투자주식,"22,894","22,940","4,666",666,"4,666","4,666","4,666","4,666","4,666","4,666","4,666","4,666","4,666",666,0,"-22,228",666,
기타비유동자산,"48,070","48,070","48,070","48,070","48,070","48,070","48,070","48,070","48,070","48,070","48,070","48,070","48,070","48,070",0,0,"48,070","STIP 무형자산 $48,070K"
부채,"46,089","43,887","24,806","17,592","24,628","24,712","25,250","25,429","24,814","25,275","24,942","24,891","25,047","17,592","4,925","-23,572","21,776",
유동부채,"5,812","3,093","2,095","2,208","1,869","1,939","2,422","2,555","1,959","2,373","2,285","2,309","2,542","2,208",603,"-3,001","2,070",
매입채무,"4,778","2,489","1,509","1,576","1,350","1,379","1,834","1,962","1,342","1,665","1,662","1,683","1,912","1,576",516,"-2,686","1,351",
미지급비용,715,282,261,271,191,228,250,251,271,358,271,271,271,271,87,-357,358,
기타유동부채,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,
단기리스부채,318,321,324,360,327,331,338,341,345,349,351,354,357,360,1,43,361,
비유동부채,"40,277","40,794","22,711","15,385","22,760","22,773","22,828","22,873","22,855","22,902","22,658","22,582","22,506","15,385","4,321","-20,571","19,706","SPA -$18,000상환, 운영자금 -$3,000K 상환"
차입금,"39,215","39,364","21,309","14,695","21,387","21,463","21,541","21,617","21,695","21,773","21,695","21,695","21,695","14,695","4,078","-20,442","18,773",
장기리스부채,394,365,336,49,307,278,254,224,194,163,136,107,78,49,-2,-347,47,
기타비유동부채,668,"1,065","1,065",641,"1,065","1,032","1,032","1,032",966,966,827,780,733,641,245,218,886,
자본,"40,159","39,538","38,985","37,673","39,026","38,695","38,246","37,624","37,210","36,092","36,987","36,569","36,900","36,949","-4,362","-6,848","33,311",
자본금,"60,672","60,672","60,672","60,672","60,672","60,672","60,672","60,672","60,672","60,672","60,672","60,672","60,672","60,672",0,0,"60,672",
이익잉여금,"-20,513","-21,134","-21,687","-22,999","-21,646","-21,978","-22,426","-23,048","-23,462","-24,580","-23,685","-24,103","-23,772","-23,723","-4,362","-6,848","-27,361",
