계정과목,전년,26년 1월(실적),26년 2월(실적),26년 3월(실적),26년 4월(실적),26년 5월(실적),26년 6월(실적),26년 7월(실적),26년 8월(실적),Sep-26F,Oct-26F,Nov-26F,Dec-26F,RF_07,RF_08,New_RF_08,RF_08 - 전년,RF_08 - RF_07
TAG 판매가,"44,095","2,537","1,864","2,010","2,257","2,976","3,221","2,910","2,228","4,430","3,828","6,483","6,483","41,711","41,226","40,216","-2,869",-485
E-com,"39,960","2,515","1,580","1,727","1,933","2,699","3,068","2,728","1,967","3,888","3,422","6,322","6,322","38,373","38,169","37,159","-1,791",-204
26FW,"6,619",0,0,0,0,0,0,31,98,951,951,"1,585","1,585","5,103","5,201","5,891",-1418,98
26SS,"18,613",3,158,251,406,732,1330,"1,182",735,1030,876,"2,060","2,060","10,912","10,823","10,220","-7,790",-89
25FW,"10,339","1,095",863,"1,061",935,"1,039",865,705,631,1236,989,"1,546","1,546","12,622","12,511","12,357","2,172",-111
25SS,"1,668",999,395,224,426,734,725,678,380,477,477,572,572,"6,756","6,659","6,049","4,991",-97
과시즌,305,334,130,156,141,150,116,115,103,95,95,95,95,"1,617","1,625","1,574","1,320",8
CORE,"2,416",84,33,35,25,43,32,16,21,99,34,464,464,"1,363","1,350","1,069","-1,066",-13
Wholesale,"4,135",22,284,283,324,278,153,182,261,542,406,161,161,"3,338","3,057","3,057","-1,078",-281
(%) 할인율,50.50%,31.70%,46.90%,41.60%,43.10%,53.30%,51.20%,54.80%,57.00%,40.07%,40.52%,42.73%,42.71%,42.50%,43.0%,52.80%,-7.47%,0.53%
실판 매출,"22,819","1,734","1,073","1,218","1,394","1,396","1,617","1,374","1,037","2,755","2,331","3,767","3,815","23,985","23,487","19,522",668,-498
E-com,"20,321","1,728",960,"1,058","1,054","1,312","1,526","1,194",869,"2,455","2,127","3,653","3,654","22,005","21,590","17,831","1,269",-415
Wholesale,"1,515",6,109,113,133,79,47,122,89,200,150,60,60,"1,279","1,168","1,167",-347,-111
License Revenue,832,0,0,40,-7,0,40,26,0,92,47,47,92,424,377,179,-455,-47
Others,149,0,5,7,189,5,4,32,79,8,7,7,9,277,352,345,203,75
매출원가,"9,072",813,384,414,447,634,663,635,464,890,769,"1,293","1,293","8,784","8,697","8,324",-375,-87
E-com,"8,349",809,334,365,384,593,634,554,350,788,692,"1,263","1,263","8,127","8,029","7,655",-320,-98
Wholesale,828,4,50,49,62,41,30,80,41,102,77,30,30,657,596,597,-232,-61
Others,-106,0,0,0,0,0,0,0,72,0,0,0,0,0,72,72,178,72
매출총이익,"13,748",921,689,804,923,762,953,740,573,1865,1562,"2,474","2,522","15,201","14,790","11,198","1,042",-411
(%) 매출총이익률,60.30%,53.10%,64.20%,66.00%,67.40%,54.58%,59.00%,53.80%,55.26%,67.70%,67.01%,65.68%,66.11%,63.38%,63.0%,57.36%,2.67%,-0.41%
직접비용,"8,569",692,458,436,540,668,727,602,475,972,862,"1,176","1,323","9,038","8,951","8,939",382,-87
광고비,"3,994",297,199,195,218,341,336,272,213,451,391,671,671,"4,278","4,255","3,913",261,-23
운반비,"1,243",153,61,90,83,51,97,79,76,167,155,101,216,"1,344","1,329","1,422",86,-15
수수료,"1,346",117,96,113,136,119,167,131,86,220,195,304,304,"2,036","1,988","1,737",642,-48
물류비,"1,986",125,102,38,103,177,127,120,100,134,121,100,132,"1,380","1,379","1,868",-607,-1
기타,,,,,,,,,,,,,,0,0,0,0,0
직접이익,"5,177",229,231,368,383,74,227,137,98,893,700,1298,1199,"6,163","5,839","2,259",662,-324
(%) 직접이익률,22.70%,13.20%,21.50%,30.20%,28.00%,0.36%,14.00%,10.00%,9.45%,32.41%,30.03%,34.46%,31.43%,25.70%,24.86%,11.57%,2.16%,-0.84%
영업비,"7,114",673,500,392,703,459,701,552,661,497,630,544,561,"6,793","6,875","7,091",-239,82
급여,"4,137",322,312,320,539,319,330,342,336,340,340,340,343,"4,187","4,183","4,273",46,-4
임차료,296,25,25,25,25,25,25,24,27,25,25,25,25,299,301,303,5,2
감가상각비,68,4,7,7,8,8,8,8,8,4,4,4,4,70,74,91,6,4
광고비,510,51,81,15,14,14,103,21,173,19,101,54,72,650,718,672,208,68
지급수수료,"1,268",247,37,67,83,60,96,124,88,88,103,99,91,"1,179","1,183","1,302",-85,4
출장비/식대,46,4,2,6,17,4,4,3,4,2,2,1,6,52,55,104,9,3
기타,791,20,37,-48,18,29,135,30,25,19,55,21,20,356,361,346,-430,5
영업이익,"-1,937",-444,-269,-24,-320,-385,-474,-415,-563,396,70,754,638,-630,"-1,036","-4,832",901,-406
(%) 영업이익률,-8.49%,-25.61%,-25.07%,-1.97%,-22.96%,-27.58%,-29.31%,-30.20%,-54.29%,14.37%,3.00%,20.02%,16.72%,-2.63%,-4.41%,-24.75%,4.08%,-1.78%
전년당월 영업이익,,-158,-109,-5,-60,13,-70,-219,-237,-259,-389,46,-494,,,,,
전년당월비 영업이익 차이,,-286,-160,-19,-260,-398,-404,-196,-326,655,459,708,1132,,,,,
