계정과목,전년,1월,2월,RF_04,3월,4월,5월,6월,7월,8월,9월,10월,11월,RF_05,RF_05 - RF_04,RF_05 - 전년,NEW_RF_08,상세
운전자본,534,"2,294","5,250","1,659","5,768","5,601","4,279","3,287","4,174","5,083","4,826","3,954","2,859","1,934",275,"1,400","1,277",
매출채권,371,440,519,870,457,545,342,264,237,990,769,686,"1,113",870,0,499,216,
재고자산,"4,942","4,343","6,241","2,365","6,662","6,434","5,772","4,985","5,279","5,758","5,719","4,951","3,658","2,640",275,"-2,302","2,411",
매입채무,"-4,778","-2,489","-1,509","-1,576","-1,350","-1,379","-1,834","-1,962","-1,342","-1,665","-1,662","-1,683","-1,912","-1,576",0,"3,202","-1,351",
현금/차입금,"-31,652","-34,489","-18,748","-11,977","-18,930","-19,165","-18,883","-19,184","-19,854","-20,964","-19,686","-19,264","-17,871","-11,528",449,"20,124","-15,579",
현금자산,"7,563","4,874","2,562","2,718","2,458","2,298","2,658","2,433","1,841",809,"2,009","2,431","3,824","3,167",449,"-4,396","3,194",
차입금,"-39,215","-39,364","-21,309","-14,695","-21,387","-21,463","-21,541","-21,617","-21,695","-21,773","-21,695","-21,695","-21,695","-14,695",0,"24,520","-18,773","SPA 차입금 상환 -$18,000K, 운영자금 차입금 상환"
기타운전자본,314,724,-254,-746,-548,-478,114,785,154,-764,-890,-856,-824,-745,1,"-1,059","-1,123",
기타채권,60,1,0,-1,39,0,0,38,-1,-1,-1,-1,-1,-1,0,-61,-1,
기타유동자산,"1,836","2,272","1,207",245,804,876,"1,472","2,097","1,447",631,273,264,254,245,0,"-1,591",226,
유형자산,40,38,105,164,105,147,164,172,184,169,176,172,168,164,0,124,136,
사용권자산,474,448,421,169,395,369,353,327,301,274,248,222,195,169,0,-305,168,
미지급비용,-715,-282,-261,-271,-191,-228,-250,-251,-271,-358,-271,-271,-271,-271,0,444,-358,
기타유동부채,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,
리스부채,-712,-686,-660,-409,-634,-608,-592,-566,-539,-512,-487,-461,-435,-409,0,303,-408,
기타비유동부채,-668,"-1,065","-1,065",-641,"-1,065","-1,032","-1,032","-1,032",-966,-966,-827,-780,-733,-641,0,27,-886,
기타자산부채,"70,964","71,010","52,736","48,736","52,736","52,736","52,736","52,736","52,736","52,736","52,736","52,736","52,736","48,736",0,"-22,228","48,736",
무형자산,"48,070","48,070","48,070","48,070","48,070","48,070","48,070","48,070","48,070","48,070","48,070","48,070","48,070","48,070",0,0,"48,070",
STE투자주식,"22,894","22,940","4,666",666,"4,666","4,666","4,666","4,666","4,666","4,666","4,666","4,666","4,666",666,0,"-22,228",666,STE 감자 → STO 투자주식 제거로 OC차입금 상환 재원확보 $18M
자본,"40,159","39,538","38,985","37,673","39,026","38,695","38,246","37,624","37,210","36,092","36,987","36,569","36,900","36,949",-724,"-3,210","33,311",
자본금,"60,672","60,672","60,672","60,672","60,672","60,672","60,672","60,672","60,672","60,672","60,672","60,672","60,672","60,672",0,0,"60,672",
이익잉여금,"-20,513","-21,134","-21,687","-22,999","-21,646","-21,978","-22,426","-23,048","-23,462","-24,580","-23,685","-24,103","-23,772","-23,723",-724,"-3,210","-27,361",
